=== 종목 배치 적재 (GICS 계층화) ===

모드: cron (sector_id 재시도)

  섹터 매핑 테이블 로드 중...
  gics_yfinance_map: 176건, sectors L1: 12건, sectors 전체: 220건

[cron] sector_id 미설정 종목 조회 중...
  대상: 10798개

  [264/10798] 145020 (KR): sector_id=129
  [265/10798] 319660 (KR): sector_id=127
  [266/10798] 043260 (KR): null (매핑 실패)
  [267/10798] 403870 (KR): sector_id=213
  [268/10798] 422260 (KR): null (매핑 실패)
  [269/10798] 214370 (KR): null (매핑 실패)
  [270/10798] 036930 (KR): null (매핑 실패)
  [271/10798] 360150 (KR): null (매핑 실패)
  [272/10798] 300610 (KR): null (매핑 실패)
  [273/10798] 267440 (KR): null (매핑 실패)
  [274/10798] 280940 (KR): null (매핑 실패)
  [275/10798] 275750 (KR): null (매핑 실패)
  [276/10798] 227560 (KR): null (매핑 실패)
  [277/10798] 267490 (KR): null (매핑 실패)
  [278/10798] 530060 (KR): null (매핑 실패)
  [279/10798] 453660 (KR): null (매핑 실패)
  [280/10798] 427120 (KR): null (매핑 실패)
  [281/10798] 277650 (KR): null (매핑 실패)
  [282/10798] 397420 (KR): null (매핑 실패)
  [283/10798] 580033 (KR): null (매핑 실패)
  [284/10798] 334700 (KR): null (매핑 실패)
  [285/10798] 489010 (KR): null (매핑 실패)
  [286/10798] 570070 (KR): null (매핑 실패)
  [287/10798] 269530 (KR): null (매핑 실패)
  [288/10798] 381570 (KR): null (매핑 실패)
  [289/10798] 550043 (KR): null (매핑 실패)
  [290/10798] 530125 (KR): null (매핑 실패)
  [291/10798] 252420 (KR): null (매핑 실패)
  [292/10798] 570110 (KR): null (매핑 실패)
  [293/10798] 145670 (KR): null (매핑 실패)
  [294/10798] 454180 (KR): null (매핑 실패)
  [295/10798] 530092 (KR): null (매핑 실패)
  [296/10798] 550070 (KR): null (매핑 실패)
  [297/10798] 292770 (KR): null (매핑 실패)
  [298/10798] 0153P0 (KR): null (매핑 실패)
  [299/10798] 482030 (KR): null (매핑 실패)
  [300/10798] 610008 (KR): null (매핑 실패)
  [301/10798] 570066 (KR): null (매핑 실패)
  [302/10798] 760014 (KR): null (매핑 실패)
  [303/10798] 580060 (KR): null (매핑 실패)
  [304/10798] 137610 (KR): null (매핑 실패)
  [305/10798] 306530 (KR): null (매핑 실패)
  [306/10798] 429740 (KR): null (매핑 실패)
  [307/10798] 407300 (KR): null (매핑 실패)
  [308/10798] 391600 (KR): null (매핑 실패)
  [309/10798] 469530 (KR): null (매핑 실패)
  [310/10798] 476310 (KR): null (매핑 실패)
  [311/10798] 428560 (KR): null (매핑 실패)
  [312/10798] 261920 (KR): null (매핑 실패)
  [313/10798] 570064 (KR): null (매핑 실패)
  [314/10798] 570091 (KR): null (매핑 실패)
  [315/10798] 220130 (KR): null (매핑 실패)
  [316/10798] 451670 (KR): null (매핑 실패)
  [317/10798] 401590 (KR): null (매핑 실패)
  [318/10798] 530090 (KR): null (매핑 실패)
  [319/10798] 225800 (KR): null (매핑 실패)
  [320/10798] 520040 (KR): null (매핑 실패)
  [321/10798] 474390 (KR): null (매핑 실패)
  [322/10798] 498610 (KR): null (매핑 실패)
  [323/10798] 0050E0 (KR): null (매핑 실패)
  [324/10798] 510043 (KR): null (매핑 실패)
  [325/10798] 610023 (KR): null (매핑 실패)
  [326/10798] 291890 (KR): null (매핑 실패)
  [327/10798] 139290 (KR): null (매핑 실패)
  [328/10798] 500036 (KR): null (매핑 실패)
  [329/10798] 400580 (KR): null (매핑 실패)
  [330/10798] 456200 (KR): null (매핑 실패)
